feature,coefficient,absolute_coefficient
额，我,0.14378093406648235,0.14378093406648235
像是,0.14350139835528297,0.14350139835528297
好像是,0.14350139835528297,0.14350139835528297
现在,0.14332444265944502,0.14332444265944502
，就是,0.1423634476994179,0.1423634476994179
如果,-0.1412263999466061,0.1412263999466061
不清了,0.1409007142550773,0.1409007142550773
清了,0.1409007142550773,0.1409007142550773
记不清了,0.1409007142550773,0.1409007142550773
记不清,0.1409007142550773,0.1409007142550773
我的,-0.140631741723334,0.140631741723334
的故,0.1405287346626685,0.1405287346626685
后悔,-0.13978871002999818,0.13978871002999818
的事情,-0.139617466481432,0.139617466481432
吵架。,0.13892500292269766,0.13892500292269766
架。,0.13892500292269766,0.13892500292269766
，而,0.13745547375495826,0.13745547375495826
，喜,0.13712463795728977,0.13712463795728977
，喜欢,0.13712463795728977,0.13712463795728977
久远了，,0.13709584451370246,0.13709584451370246
久远了,0.13709584451370246,0.13709584451370246
久远,0.13709584451370246,0.13709584451370246
为睡觉,0.13709584451370246,0.13709584451370246
觉，因为,0.13709584451370246,0.13709584451370246
觉，因,0.13709584451370246,0.13709584451370246
因为睡觉,0.13709584451370246,0.13709584451370246
因为睡,0.13709584451370246,0.13709584451370246
太久远,0.13709584451370246,0.13709584451370246
太久,0.13709584451370246,0.13709584451370246
太久远了,0.13709584451370246,0.13709584451370246
太久远了，,0.13709584451370246,0.13709584451370246
觉，因为睡,0.13709584451370246,0.13709584451370246
欢睡觉，,0.13709584451370246,0.13709584451370246
喜欢睡觉，,0.13709584451370246,0.13709584451370246
睡觉，因,0.13709584451370246,0.13709584451370246
睡觉，因为,0.13709584451370246,0.13709584451370246
欢睡觉，因,0.13709584451370246,0.13709584451370246
为睡,0.13709584451370246,0.13709584451370246
，因为睡,0.13709584451370246,0.13709584451370246
远了,0.13709584451370246,0.13709584451370246
远了，,0.13709584451370246,0.13709584451370246
，因为睡觉,0.13709584451370246,0.13709584451370246
好像,0.13709389372124284,0.13709389372124284
一个人,0.13618038874682104,0.13618038874682104
他们有,0.13590642443994866,0.13590642443994866
们有,0.13590642443994866,0.13590642443994866
跟我,0.13520961790261735,0.13520961790261735
小孩子,-0.1344613879273008,0.1344613879273008
，因为他们,0.13411535325892998,0.13411535325892998
上一次争,0.13373949443380095,0.13373949443380095
上一次争吵,0.13373949443380095,0.13373949443380095
只能,0.1329074549212849,0.1329074549212849
大概,0.13277975785548354,0.13277975785548354
"
不喜",0.13178489156825865,0.13178489156825865
"
不喜欢",0.13178489156825865,0.13178489156825865
小孩。,0.13133288400852655,0.13133288400852655
孩。,0.13133288400852655,0.13133288400852655
人的人,0.13122411844614332,0.13122411844614332
"
不",0.12967727020860562,0.12967727020860562
，爷,0.12910854656892554,0.12910854656892554
，爷爷,0.12910854656892554,0.12910854656892554
爷爷,0.12910854656892554,0.12910854656892554
别人,0.1284973697950832,0.1284973697950832
喜欢。因,0.12847708049534648,0.12847708049534648
喜欢。因为,0.12847708049534648,0.12847708049534648
欢。因为,0.12847708049534648,0.12847708049534648
欢。因,0.12847708049534648,0.12847708049534648
最近,-0.12825402724476614,0.12825402724476614
悔的,-0.1279844384186897,0.1279844384186897
后悔的,-0.1279844384186897,0.1279844384186897
什么,-0.12791097159201223,0.12791097159201223
高考,-0.127850366386488,0.127850366386488
方面,-0.12748099170738103,0.12748099170738103
因为小,-0.12733742382445162,0.12733742382445162
为小,-0.12733742382445162,0.12733742382445162
因为小孩,-0.12733742382445162,0.12733742382445162
为小孩子,-0.12733742382445162,0.12733742382445162
为小孩,-0.12733742382445162,0.12733742382445162
因为小孩子,-0.12733742382445162,0.12733742382445162
为他们有,0.12672415707931534,0.12672415707931534
不是说,0.12672415707931534,0.12672415707931534
因为他们有,0.12672415707931534,0.12672415707931534
也会,-0.126123379744267,0.126123379744267
不要,0.12601087195863733,0.12601087195863733
游戏,-0.12593192801672956,0.12593192801672956
我放松,0.1257487571554311,0.1257487571554311
我放,0.1257487571554311,0.1257487571554311
能在,0.12474936796691348,0.12474936796691348
得了,0.12405161570728074,0.12405161570728074
的话,-0.12325143788183576,0.12325143788183576
人类,0.12290586840561023,0.12290586840561023
的工作，,-0.12256022486912665,0.12256022486912665
或者,-0.12254901246170989,0.12254901246170989
后，,-0.1223791732028879,0.1223791732028879
接触,0.12137567613089188,0.12137567613089188
"了
",-0.12117349007412002,0.12117349007412002
不喜欢,0.12083182906892237,0.12083182906892237
不喜,0.12083182906892237,0.12083182906892237
友吵,0.12067965830781091,0.12067965830781091
友吵架,0.12067965830781091,0.12067965830781091
